curvature, distance
151,0.02325595635902423
149,0.02616295090390226
142,0.02906994544878029
143,0.02906994544878029
144,0.03197693999365832
152,0.03197693999365832
145,0.043604918173170436
139,0.055232896352682546
127,0.06976786907707269
119,0.06976786907707269
111,0.06686087453219466
105,0.06395387998731664
105,0.05813989089756058
105,0.05232590180780452
108,0.04069792362829241
108,0.02906994544878029
104,0.020348961814146204
102,0.014534972724390145
98,0.005813989089756058
101,0.011627978179512116
107,0.02906994544878029
103,0.02616295090390226
95,0.011627978179512116
91,0.0
95,0.002906994544878029
98,0.005813989089756058
98,0.011627978179512116
99,0.017441967269268173
100,0.02616295090390226
102,0.02906994544878029
104,0.034883934538536346
109,0.034883934538536346
121,0.02906994544878029
136,0.02325595635902423
155,0.017441967269268173
159,0.017441967269268173
156,0.014534972724390145
147,0.014534972724390145
137,0.014534972724390145
135,0.008720983634634086
131,0.008720983634634086
129,0.008720983634634086
122,0.011627978179512116
115,0.017441967269268173
115,0.011627978179512116
117,0.011627978179512116
122,0.008720983634634086
123,0.011627978179512116
131,0.005813989089756058
130,0.005813989089756058
135,0.005813989089756058
135,0.008720983634634086
143,0.008720983634634086
145,0.014534972724390145
144,0.017441967269268173
146,0.020348961814146204
160,0.017441967269268173
206,0.005813989089756058
210,0.008720983634634086
189,0.017441967269268173
164,0.03197693999365832
155,0.037790929083414374
153,0.04069792362829241
152,0.043604918173170436
161,0.04069792362829241
168,0.04069792362829241
165,0.043604918173170436
162,0.04651191271804846
152,0.055232896352682546
146,0.06395387998731664
138,0.06686087453219466
135,0.0610468854424386
136,0.05232590180780452
129,0.04941890726292649
123,0.04651191271804846
118,0.043604918173170436
119,0.037790929083414374
122,0.03197693999365832
123,0.03197693999365832
125,0.02906994544878029
119,0.034883934538536346
125,0.02325595635902423
123,0.02325595635902423
121,0.02325595635902423
115,0.034883934538536346
113,0.037790929083414374
121,0.03197693999365832
124,0.03197693999365832
129,0.02906994544878029
131,0.02906994544878029
134,0.02906994544878029
139,0.02906994544878029
134,0.034883934538536346
127,0.043604918173170436
123,0.04941890726292649
121,0.04941890726292649
124,0.04651191271804846
128,0.043604918173170436
134,0.037790929083414374
139,0.03197693999365832
142,0.02906994544878029
145,0.02325595635902423
145,0.020348961814146204
147,0.017441967269268173
148,0.014534972724390145
159,0.005813989089756058
156,0.005813989089756058
154,0.005813989089756058
147,0.014534972724390145
150,0.014534972724390145
157,0.017441967269268173
161,0.017441967269268173
169,0.017441967269268173
175,0.017441967269268173
182,0.017441967269268173
184,0.020348961814146204
184,0.02325595635902423
180,0.02906994544878029
181,0.034883934538536346
184,0.034883934538536346
198,0.03197693999365832
215,0.02616295090390226
235,0.020348961814146204
244,0.017441967269268173
248,0.020348961814146204
250,0.020348961814146204
248,0.02325595635902423
242,0.02325595635902423
229,0.03197693999365832
225,0.043604918173170436
225,0.04651191271804846
231,0.043604918173170436
241,0.034883934538536346
267,0.02616295090390226
289,0.02616295090390226
311,0.02325595635902423
327,0.020348961814146204
344,0.020348961814146204
349,0.017441967269268173
361,0.017441967269268173
434,0.005813989089756058
458,0.002906994544878029
545,0.002906994544878029
494,0.005813989089756058
602,0.002906994544878029
789,0.005813989089756058
840,0.008720983634634086
897,0.011627978179512116
914,0.017441967269268173
1049,0.02616295090390226
868,0.037790929083414374
795,0.043604918173170436
708,0.0610468854424386
694,0.06686087453219466
692,0.06976786907707269
740,0.05813989089756058
756,0.055232896352682546
767,0.05232590180780452
757,0.05232590180780452
760,0.04941890726292649
763,0.04941890726292649
764,0.04941890726292649
758,0.04651191271804846
765,0.04651191271804846
839,0.034883934538536346
803,0.034883934538536346
911,0.03197693999365832
